STATE,DISTRICT,QUARTER,LEVEL
AP,Prakasam,1997-10-01,2.942888889
AP,Prakasam,1998-01-01,3.621818182
AP,Prakasam,1998-04-01,4.706363636
AP,Prakasam,1998-07-01,4.810681818
AP,Prakasam,1998-10-01,2.075454545
AP,Prakasam,1999-01-01,3.663636364
AP,Prakasam,1999-04-01,5.823863636
AP,Prakasam,1999-07-01,6.511590909
AP,Prakasam,1999-10-01,4.426363636
AP,Prakasam,2000-01-01,5.279565217
AP,Prakasam,2000-04-01,5.528043478
AP,Prakasam,2000-07-01,2.953913043
AP,Prakasam,2000-10-01,2.972391304
AP,Prakasam,2001-01-01,3.626170213
AP,Prakasam,2001-04-01,5.45212766
AP,Prakasam,2001-07-01,6.206808511
AP,Prakasam,2001-10-01,3.261489362
AP,Prakasam,2002-01-01,3.352222222
AP,Prakasam,2002-04-01,5.478888889
AP,Prakasam,2002-07-01,6.188444444
AP,Prakasam,2002-10-01,4.666222222
AP,Prakasam,2003-01-01,5.098297872
AP,Prakasam,2003-04-01,6.903404255
AP,Prakasam,2003-07-01,6.27106383
AP,Prakasam,2003-10-01,5.95893617
AP,Prakasam,2004-01-01,5.528604651
AP,Prakasam,2004-04-01,6.613488372
AP,Prakasam,2004-07-01,6.825581395
AP,Prakasam,2004-10-01,5.381162791
AP,Prakasam,2005-01-01,5.032272727
AP,Prakasam,2005-04-01,7.005681818
AP,Prakasam,2005-07-01,6.833181818
AP,Prakasam,2005-10-01,3.204545455
AP,Prakasam,2006-01-01,3.682682927
AP,Prakasam,2006-04-01,4.541707317
AP,Prakasam,2006-07-01,5.137804878
AP,Prakasam,2006-10-01,3.705853659
AP,Prakasam,2007-01-01,4.241
AP,Prakasam,2007-04-01,5.8665
AP,Prakasam,2007-07-01,3.7715
AP,Prakasam,2007-10-01,3.12175
AP,Prakasam,2008-01-01,3.56
AP,Prakasam,2008-04-01,4.881714286
AP,Prakasam,2008-07-01,4.863428571
AP,Prakasam,2008-10-01,4.079714286
AP,Prakasam,2009-01-01,3.295882353
AP,Prakasam,2009-04-01,5.631764706
AP,Prakasam,2009-07-01,6.233823529
AP,Prakasam,2009-10-01,4.242941176
AP,Prakasam,2010-01-01,4.23030303
AP,Prakasam,2010-04-01,4.163030303
AP,Prakasam,2010-07-01,3.186969697
AP,Prakasam,2010-10-01,2.244242424
AP,Prakasam,2011-01-01,2.396060606
AP,Prakasam,2011-04-01,4.171212121
AP,Prakasam,2011-07-01,4.691515152
AP,Prakasam,2011-10-01,3.763939394
AP,Prakasam,2012-01-01,4.288536585
AP,Prakasam,2012-04-01,5.891219512
AP,Prakasam,2012-07-01,3.95
AP,Prakasam,2012-10-01,4.04902439
AP,Prakasam,2013-01-01,4.869672131
