STATE,DISTRICT,QUARTER,LEVEL
Andhra Pradesh,Krishna,01-10-2009,4.407118644
Andhra Pradesh,Krishna,01-01-2010,5.388
Andhra Pradesh,Krishna,01-04-2010,4.3028
Andhra Pradesh,Krishna,01-07-2010,3.4436
Andhra Pradesh,Krishna,01-10-2010,2.2112
Andhra Pradesh,Krishna,01-01-2011,2.947857143
Andhra Pradesh,Krishna,01-04-2011,4.918928571
Andhra Pradesh,Krishna,01-07-2011,3.472142857
Andhra Pradesh,Krishna,01-10-2011,3.2775
Andhra Pradesh,Krishna,01-01-2012,3.805925926
Andhra Pradesh,Krishna,01-04-2012,6.026296296
Andhra Pradesh,Krishna,01-07-2012,3.95
Andhra Pradesh,Krishna,01-10-2012,2.127407407
Andhra Pradesh,Krishna,01-01-2013,4.637763158
Andhra Pradesh,Krishna,01-04-2013,5.573421053
Andhra Pradesh,Krishna,01-07-2013,3.95
Andhra Pradesh,Krishna,01-10-2013,2.723684211
Andhra Pradesh,Krishna,01-01-2014,3.061558442
Andhra Pradesh,Krishna,01-04-2014,4.881428571
Andhra Pradesh,Krishna,01-07-2014,3.398831169
Andhra Pradesh,Krishna,01-10-2014,2.780519481
Andhra Pradesh,Krishna,01-01-2015,3.558181818
Andhra Pradesh,Krishna,01-04-2015,5.003116883
Andhra Pradesh,Krishna,01-07-2015,3.658701299
Andhra Pradesh,Krishna,01-10-2015,4.658441558
Andhra Pradesh,Krishna,01-01-2016,5.16440367
Andhra Pradesh,Krishna,01-04-2016,6.666055046
Andhra Pradesh,Krishna,01-07-2016,4.490825688
Andhra Pradesh,Krishna,01-10-2016,3.505137615
Andhra Pradesh,Krishna,01-01-2017,4.755
Andhra Pradesh,Krishna,01-04-2017,6.001486486
Andhra Pradesh,Krishna,01-07-2017,4.049459459
Andhra Pradesh,Krishna,01-10-2017,4.357432432
Andhra Pradesh,Krishna,01-01-2018,5.256756757
Andhra Pradesh,Krishna,01-04-2018,7.083243243
Andhra Pradesh,Krishna,01-07-2018,3.805675676
Andhra Pradesh,Krishna,01-10-2018,4.529054054
Andhra Pradesh,Kurnool,01-01-1996,5.532837838
Andhra Pradesh,Kurnool,01-04-1996,7.004594595
Andhra Pradesh,Kurnool,01-07-1996,5.348648649
Andhra Pradesh,Kurnool,01-10-1996,3.166891892
